sentiment,repeated_chars_count,has_digit_prefix,text_clean,text_len,word_count,avg_word_len,unique_word_ratio,json_parse
1,0,0,Толя конечно Герой Успехов во всём и здоровья Божией помощи в этих бесконечных важных делахГоржусь знакомством,110,16,5.9375,1.0,"{'positive_word_count': 4, 'negative_word_count': 0, 'neutral_word_count': 3, 'negation_count': 0, 'intensifier_count': 2, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 2, 'rhetorical_question_count': 0, 'appeal_flag': 0, 'religious_lexicon_flag': 1, 'political_lexicon_flag': 0, 'target_entity': 'person'}"
0,1,1,у нас искусственный интеллект сейчас даже там где мы и не догадываемся Те же самые телефоны без которых мы и жизни не мыслимСтранно что некоторые люди пугаются таких технологий в веке,183,31,4.935483870967742,0.9032258064516129,"{'positive_word_count': 4, 'negative_word_count': 0, 'neutral_word_count': 6, 'negation_count': 0, 'intensifier_count': 0, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 1, 'rhetorical_question_count': 0, 'appeal_flag': 0, 'religious_lexicon_flag': 0, 'political_lexicon_flag': 0, 'target_entity': 'none'}"
1,0,0,Мне радостно что наше многогранное Отечество прирастает такими талантами как ЮрийУспехов тебе друже,99,13,6.6923076923076925,1.0,"{'positive_word_count': 4, 'negative_word_count': 0, 'neutral_word_count': 0, 'negation_count': 0, 'intensifier_count': 0, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 1, 'rhetorical_question_count': 0, 'appeal_flag': 1, 'religious_lexicon_flag': 0, 'political_lexicon_flag': 0, 'target_entity': 'person'}"
-1,0,0,Ну и говно,10,3,2.6666666666666665,1.0,"{'positive_word_count': 0, 'negative_word_count': 1, 'neutral_word_count': 0, 'negation_count': 0, 'intensifier_count': 0, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 1, 'rhetorical_question_count': 0, 'appeal_flag': 0, 'religious_lexicon_flag': 0, 'political_lexicon_flag': 0, 'target_entity': 'none'}"
1,0,0,@ Спасибо подписался,20,3,6.0,1.0,"{'positive_word_count': 1, 'negative_word_count': 0, 'neutral_word_count': 1, 'negation_count': 0, 'intensifier_count': 0, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 1, 'rhetorical_question_count': 0, 'appeal_flag': 0, 'religious_lexicon_flag': 0, 'political_lexicon_flag': 0, 'target_entity': 'none'}"
0,0,0,Тёма да есть о чём канешнпро славное прошлое наших игроделов смута то за лямов тот ещё шедевр готовится чувствую ну просто вижу этот сериал как рекламуоправдание зачем нам столько деняк на то что мы назовём играмиИ самое грустное что такой шлак подают под соусом патриотизма и любви к родине ну типа говно не говно а слушать ты это будешь стояэто я конкретно про будущие игры,375,65,4.7846153846153845,0.9384615384615385,"{'positive_word_count': 0, 'negative_word_count': 4, 'neutral_word_count': 6, 'negation_count': 1, 'intensifier_count': 2, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 2, 'rhetorical_question_count': 0, 'appeal_flag': 0, 'religious_lexicon_flag': 0, 'political_lexicon_flag': 0, 'target_entity': 'none'}"
0,0,0,Дорогой Рустам Храни тебя Бог И всех дорогих воинов защищающий нашу страну,74,12,5.25,1.0,"{'positive_word_count': 4, 'negative_word_count': 0, 'neutral_word_count': 2, 'negation_count': 0, 'intensifier_count': 0, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 2, 'rhetorical_question_count': 0, 'appeal_flag': 1, 'religious_lexicon_flag': 1, 'political_lexicon_flag': 1, 'target_entity': 'group'}"
1,1,1,Будет интересно глянуть,23,3,7.0,1.0,"{'positive_word_count': 0, 'negative_word_count': 0, 'neutral_word_count': 1, 'negation_count': 0, 'intensifier_count': 0, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 1, 'rhetorical_question_count': 0, 'appeal_flag': 0, 'religious_lexicon_flag': 0, 'political_lexicon_flag': 0, 'target_entity': 'none'}"
-1,0,0,Вот и Бероев переобулся Не хочет на енота желтую звезду нашить,62,11,4.7272727272727275,1.0,"{'positive_word_count': 0, 'negative_word_count': 0, 'neutral_word_count': 4, 'negation_count': 1, 'intensifier_count': 0, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 1, 'rhetorical_question_count': 0, 'appeal_flag': 0, 'religious_lexicon_flag': 0, 'political_lexicon_flag': 0, 'target_entity': 'none'}"
1,0,0,суперрепортаж,13,1,13.0,1.0,"{'positive_word_count': 1, 'negative_word_count': 0, 'neutral_word_count': 0, 'negation_count': 0, 'intensifier_count': 0, 'emotional_shift': 0, 'aggression_flag': 0, 'emotional_intensity': 1, 'rhetorical_question_count': 0, 'appeal_flag': 0, 'religious_lexicon_flag': 0, 'political_lexicon_flag': 0, 'target_entity': 'none'}"
